Cow,Ingredient,AF_Qty,AF_Head,DM_fract,DM_Qty,DM_Head,Pen_old,Pen,Cow_amount,Cow_n,Year,Month,month,Days in month, Moisture, Dry_Matter, pH, CP, ADF, aNDF, Lignin, Starch, ESC(Sugar), WSC(Sugar), EE(Fat), TFA(Fat), Ash,C%,OM
dairy,KFK8-B MIX,4367,4367,0.47,2052,2052.49,D9-01-6859,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,5075,5075,0.47,2385,2385.25,D9-02-5607,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4667,4667,0.47,2193,2193.49,D9-03-6868,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4647,4647,0.47,2184,2184.09,D9-04-8874,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4196,4196,0.47,1972,1972.12,D9-05-6022,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4542,4542,0.47,2135,2134.74,D9-06-6858,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4462,4462,0.47,2097,2097.14,D9-07-6488,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4513,4513,0.47,2121,2121.11,D9-08-6405,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,4676,4676,0.47,2198,2197.72,D9-09-6838,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
dairy,KFK8-B MIX,5204,5204,0.47,2446,2445.88,D9-10-6841,D9,38,1,2018,Jan,1,31,50.24465583,49.69861817,3.575656708,9.9824015,20.00616138,29.65905554,2.525891125,36.59397792,1.021249292,1.662002083,3.452445042,2.278704917,4.515951,39.19891,85
