month,Cow,Pen,Cow_amount,DM_Qty,Days in month,Feed_head_day, Moisture, Dry_Matter, pH, CP, ADF, aNDF, Lignin, Starch, ESC(Sugar), WSC(Sugar), EE(Fat), TFA(Fat), Ash,C%,OM
1,dairy,F1,23,43950,31,61.64095372,30.46114583,69.5384375,4.101527778,22.88489583,17.30979167,27.536875,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.570972222,33.975,68.125
1,dairy,F3,45,85378,31,61.20286738,30.46114583,69.5384375,4.101527778,22.88489583,17.30979167,27.536875,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.570972222,33.975,68.125
1,dairy,F4,25,50649,31,65.35354839,30.46114583,69.5384375,4.101527778,22.88489583,17.30979167,27.536875,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.570972222,33.975,68.125
1,dairy,F5,48,86056,31,57.83333333,30.46114583,69.5384375,4.101527778,22.88489583,17.30979167,27.536875,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.570972222,33.975,68.125
1,dairy,F7,49,100251,31,65.99802502,30.46114583,69.5384375,4.101527778,22.88489583,17.30979167,27.536875,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.570972222,33.975,68.125
1,dairy,G13,20,13124,31,21.16774194,29.3705,70.6295,4.731527778,19.96183333,28.6936875,39.2603125,5.304583333,15.0246875,1.037861111,2.314583334,3.796875,1.907083334,7.78861111,34.7,56.5
1,dairy,G14,22,14191,31,20.80791789,29.3705,70.6295,4.731527778,20.16183333,28.6936875,39.2603125,5.304583333,15.0246875,1.037861111,2.314583334,3.796875,1.907083334,7.78861111,34.7,56.5
1,dairy,G15,23,36800,31,51.61290323,30.46114583,69.5384375,4.101527778,22.88489583,17.30979167,27.536875,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.570972222,33.975,68.125
2,dairy,F1,22,35823,28,58.15422078,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
2,dairy,F3,45,79053,28,62.74047619,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
2,dairy,F4,24,43200,28,64.28571429,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
2,dairy,F5,48,78728,28,58.57738095,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
2,dairy,F7,47,83167,28,63.19680851,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
2,dairy,G13,18,7062,28,14.01190476,34.213125,65.786875,4.731527778,7.902291668,38.25625,52.34041667,5.304583333,14.36625,1.552291667,2.314583334,3.796875,1.907083334,7.78861111,32.125,46.25
2,dairy,G14,20,11059,28,19.74821429,34.213125,65.786875,4.731527778,7.902291668,38.25625,52.34041667,5.304583333,14.36625,1.552291667,2.314583334,3.796875,1.907083334,7.78861111,32.125,46.25
2,dairy,G15,34,51314,28,53.9012605,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
3,dairy,F1,21,43703,31,67.13210445,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
3,dairy,F3,46,90372,31,63.37447405,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
3,dairy,F4,22,44864,31,65.7829912,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
3,dairy,F5,49,87186,31,57.39697169,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
3,dairy,F7,48,99476,31,66.85215054,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
3,dairy,G13,15,8958,31,19.26451613,34.213125,65.786875,4.731527778,7.902291668,38.25625,52.34041667,5.304583333,14.36625,1.552291667,2.314583334,3.796875,1.907083334,7.78861111,32.125,46.25
3,dairy,G14,20,14167,31,22.85,34.213125,65.786875,4.731527778,7.902291668,38.25625,52.34041667,5.304583333,14.36625,1.552291667,2.314583334,3.796875,1.907083334,7.78861111,32.125,46.25
3,dairy,G15,33,52043,31,50.87292278,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
4,dairy,F1,32,58259,30,60.68645833,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
4,dairy,F3,46,85086,30,61.65652174,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
4,dairy,F4,23,27452,30,39.78550725,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
4,dairy,F5,49,78115,30,53.13945578,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
4,dairy,F7,49,88443,30,60.16530612,25.66988095,74.32964286,4.101527778,22.15416667,17.57175,25.04425,5.456875,28.9696875,1.404861111,2.122291667,3.877916667,2.481388889,5.885166666,33.11428571,65.14285714
