Season.1,Application.1,Field,W_kg,P_N,P_P,P_C,DM,N2O_m,N_applied,N2O_EF_kg
Fall,Diammonium Phosphate (DAP),8700 Plot 1,1009.333333,18,20,0,98,0.018,181.68,3.27024
Fall,Diammonium Phosphate (DAP),8700 Plot 2,1009.333333,18,20,0,98,0.018,181.68,3.27024
Fall,Diammonium Phosphate (DAP),8700 Plot 3,1009.333333,18,20,0,98,0.018,181.68,3.27024
Fall,Farm Lagoon,3300,233004.6,2,2,12,15,0.018,4660.092,83.881656
Fall,Farm Lagoon,3400,440574,2,2,12,15,0.018,8811.48,158.60664
Fall,Farm Lagoon,3600,596137.5,2,2,12,15,0.018,11922.75,214.6095
Fall,Farm Lagoon,4150,976530,2,2,12,15,0.018,19530.6,351.5508
Fall,Farm Lagoon,4450,342012.6,2,2,12,15,0.018,6840.252,123.124536
Fall,Farm Lagoon,6140,118546.2,2,2,12,15,0.018,2370.924,42.676632
Fall,Farm Lagoon,7600,256623,2,2,12,15,0.018,5132.46,92.38428
Fall,Farm Lagoon,8000E,894138.12,2,2,12,15,0.018,17882.7624,321.8897232
Fall,Farm Lagoon,8500,1067370,2,2,12,15,0.018,21347.4,384.2532
Fall,K3 Bedding Pack Manure,8100,2134.74,2,3,35,35,0.018,42.6948,0.7685064
Fall,K3 Bedding Pack Manure,8850,302.8,2,3,35,35,0.018,6.056,0.109008
Fall,Potassium Chloride,8700 Plot 1,4037.333332,0,0,0,98,0.018,0,0
Fall,Potassium Chloride,8700 Plot 2,2018.666666,0,0,0,98,0.018,0,0
Spring,Farm Lagoon,1500Chris N,20439,2,2,12,15,0.018,408.78,7.35804
Spring,Farm Lagoon,1900,47691,2,2,12,15,0.018,953.82,17.16876
Spring,Farm Lagoon,2350WDNR,354276,2,2,12,15,0.018,7085.52,127.53936
Spring,Farm Lagoon,2400,144435.6,2,2,12,15,0.018,2888.712,51.996816
Spring,Farm Lagoon,2500,501436.8,2,2,12,15,0.018,10028.736,180.517248
Spring,Farm Lagoon,2600WDNR,81756,2,2,12,15,0.018,1635.12,29.43216
Spring,Farm Lagoon,3100WDNR,51915.06,2,2,12,15,0.018,1038.3012,18.6894216
Spring,Farm Lagoon,3200WDNR,233004.6,2,2,12,15,0.018,4660.092,83.881656
Spring,Farm Lagoon,5200,123042.78,2,2,12,15,0.018,2460.8556,44.2954008
Spring,Farm Lagoon,6130,136941.3,2,2,12,15,0.018,2738.826,49.298868
Spring,Farm Lagoon,6701,35427.6,2,2,12,15,0.018,708.552,12.753936
Spring,Farm Lagoon,6702,27252,2,2,12,15,0.018,545.04,9.81072
Spring,Farm Lagoon,8400,188311.32,2,2,12,15,0.018,3766.2264,67.7920752
Spring,K3 and K4 Manure Alley Srcappings,8850,302.8,4,4,35,35,0.018,12.112,0.218016
Spring,K3 and K4 Manure Alley Srcappings,9100N,726.72,4,4,35,35,0.018,29.0688,0.5232384
Spring,K3 and K4 Manure Alley Srcappings,9100S,1483.72,4,4,35,35,0.018,59.3488,1.0682784
Spring,K3 and K4 Manure Alley Srcappings,9300,1302.04,4,4,35,35,0.018,52.0816,0.9374688
Spring,K3 and K4 Manure Alley Srcappings,9400,1271.76,4,4,35,35,0.018,50.8704,0.9156672
Spring,K3 Bedding Pack Manure,1900,68.13,2,3,35,35,0.018,1.3626,0.0245268
Spring,K3 Bedding Pack Manure,5500,128.69,2,3,35,35,0.018,2.5738,0.0463284
Spring,K3 Bedding Pack Manure,6702,15.14,2,3,35,35,0.018,0.3028,0.0054504
Spring,K3 Bedding Pack Manure,7300,470.854,2,3,35,35,0.018,9.41708,0.16950744
Spring,K3 Bedding Pack Manure,7500,325.51,2,3,35,35,0.018,6.5102,0.1171836
Spring,K3 Bedding Pack Manure,7810W WDNR,322.482,2,3,35,35,0.018,6.44964,0.11609352
