Date,Date,Year,month,Season,NG,Weight,Cow,Breed,Ym,Ca,WG,Nrate,Nret_frac,MCF_OLD,MCF,MS,EF_N2O
18-Jan,1/1/18,2018,1,1,340,400,heifer,H/J,3,0.2,1.3,0.31,0.07,10,10,90,0
18-Jan,1/1/18,2018,1,1,374,650,dairy,"Dairy farms are predominantly carbon sources, due to high livestock emissions from enteric fermentation and manure. Integrated crop-livestock systems (ICLS) have the potential to offset these greenhouse gas (GHG) emissions, as recycling products within the farm boundaries is prioritized. Here, we quantify seasonal and annual greenhouse gas budgets of an ICLS dairy farm in Wisconsin USA using satellite remote sensing to estimate vegetation carbon sequestration and IPCC guidelines to calculate farm emissions. As a whole, the farm was a large carbon sink, owing to natural vegetation carbon sinks and harvest products staying within the farm boundaries. Dairy cows accounted for 80% of all emissions as their feed intake dominated farm feed supply. Manure emissions (15%) were low because manure spreading was frequent throughout the year. In combination with soil conservation practices, ICLS farming provides a sustainable means of producing nutritionally valuable food while contributing to sequestration of atmospheric CO2.",6.5,0,0,0.44,0.2,10,10,90,0
18-Jan,1/1/18,2018,1,1,50,680,dry,H/J,5.8,0.17,0,0.31,0.07,10,10,90,0
18-Feb,2/1/18,2018,2,1,333,400,heifer,H/J,3,0.2,1.3,0.31,0.07,10,10,90,0
18-Feb,2/1/18,2018,2,1,380,650,dairy,H/J,6.5,0,0,0.44,0.2,10,10,90,0
18-Feb,2/1/18,2018,2,1,35,680,dry,H/J,5.8,0.17,0,0.31,0.07,10,10,90,0
18-Mar,3/1/18,2018,3,1,324,400,heifer,H/J,3,0.2,1.3,0.31,0.07,1,20,50,0
18-Mar,3/1/18,2018,3,1,369,650,dairy,H/J,6.5,0,0,0.44,0.2,1,20,50,0
18-Mar,3/1/18,2018,3,1,45,680,dry,H/J,5.8,0.17,0,0.31,0.07,1,20,50,0
18-Apr,4/1/18,2018,4,2,316,400,heifer,H/J,3,0.2,1.3,0.31,0.07,1,20,10,0
18-Apr,4/1/18,2018,4,2,364,650,dairy,H/J,6.5,0,0,0.44,0.2,1,20,10,0
18-Apr,4/1/18,2018,4,2,56,680,dry,H/J,5.8,0.17,0,0.31,0.07,1,20,10,0
18-May,5/1/18,2018,5,2,324,400,heifer,H/J,3,0.2,1.3,0.31,0.07,1,20,10,0
18-May,5/1/18,2018,5,2,371,650,dairy,H/J,6.5,0,0,0.44,0.2,1,20,10,0
18-May,5/1/18,2018,5,2,48,680,dry,H/J,5.8,0.17,0,0.31,0.07,1,20,10,0
18-Jun,6/1/18,2018,6,2,302,400,heifer,H/J,3,0.2,1.3,0.31,0.07,17,30,10,0.005
18-Jun,6/1/18,2018,6,2,377,650,dairy,H/J,6.5,0,0,0.44,0.2,17,30,10,0.005
18-Jun,6/1/18,2018,6,2,48,680,dry,H/J,5.8,0.17,0,0.31,0.07,17,30,10,0.005
18-Jul,7/1/18,2018,7,3,280,400,heifer,H/J,3,0.2,1.3,0.31,0.07,17,30,10,0.005
18-Jul,7/1/18,2018,7,3,383,650,dairy,H/J,6.5,0,0,0.44,0.2,17,30,10,0.005
18-Jul,7/1/18,2018,7,3,48,680,dry,H/J,5.8,0.17,0,0.31,0.07,17,30,10,0.005
18-Aug,8/1/18,2018,8,3,287,400,heifer,H/J,3,0.2,1.3,0.31,0.07,17,30,50,0.005
18-Aug,8/1/18,2018,8,3,389,650,dairy,H/J,6.5,0,0,0.44,0.2,17,30,50,0.005
18-Aug,8/1/18,2018,8,3,50,680,dry,H/J,5.8,0.17,0,0.31,0.07,17,30,50,0.005
18-Sep,9/1/18,2018,9,3,295,400,heifer,H/J,3,0.2,1.3,0.31,0.07,17,30,50,0.005
18-Sep,9/1/18,2018,9,3,395,650,dairy,H/J,6.5,0,0,0.44,0.2,17,30,50,0.005
18-Sep,9/1/18,2018,9,3,52,680,dry,H/J,5.8,0.17,0,0.31,0.07,17,30,50,0.005
18-Oct,10/1/18,2018,10,4,330,400,heifer,H/J,3,0.2,1.3,0.31,0.07,17,30,50,0.005
18-Oct,10/1/18,2018,10,4,399,650,dairy,H/J,6.5,0,0,0.44,0.2,17,30,50,0.005
18-Oct,10/1/18,2018,10,4,52,680,dry,H/J,5.8,0.17,0,0.31,0.07,17,30,50,0.005
18-Nov,11/1/18,2018,11,4,294,400,heifer,H/J,3,0.2,1.3,0.31,0.07,17,20,90,0.005
18-Nov,11/1/18,2018,11,4,399,650,dairy,H/J,6.5,0,0,0.44,0.2,17,20,90,0.005
18-Nov,11/1/18,2018,11,4,75,680,dry,H/J,5.8,0.17,0,0.31,0.07,17,20,90,0.005
18-Dec,12/1/18,2018,12,4,310,400,heifer,H/J,3,0.2,1.3,0.31,0.07,10,10,90,0
18-Dec,12/1/18,2018,12,4,400,650,dairy,H/J,6.5,0,0,0.44,0.2,10,10,90,0
18-Dec,12/1/18,2018,12,4,72,680,dry,H/J,5.8,0.17,0,0.31,0.07,10,10,90,0
