Date,Bulk Tank,DHI Weight,Fat%,Milk,ECM,Protein (lbs),Prot%,Fat (lbs),Milk,P_Fat,Fat,P_Pro,Pro,milk/cow (lbs)
18-Jan,30526,32165,4.285,67.765,75.24558605,2.2128415,3.315,2.7921385,28648,3.5,1004,3,859,70.39
18-Feb,30998,31432,4.31,68.415,76.30196843,2.244666,3.32,2.8384995,28512,3.49,996,3,856,69.54
18-Mar,31305,31311,4.495,68.275,77.377849,2.2658375,3.39,2.9126075,28435,3.49,992,3.01,856,69.02
18-Apr,30286,30988,4.5,70.31,80.699064,2.34993,3.39,3.06801,28235,3.5,987,3.02,852,68.04
18-May,32536,32573,4.55,71.075,81.3143188,2.2884785,3.28,3.1325045,27992,3.52,986,3.02,846,66.81
18-Jun,29804,29415,4.58,70.05,80.53828695,2.285241,3.305,3.100374,27787,3.55,987,3.02,840,66
18-Jul,30297,30103,3.69,68.805,72.1881842,2.239347,3.315,2.514127,27501,3.59,987,3.03,832,64.86
18-Aug,29477,29547,4.43,67.975,76.83756338,2.2071425,3.3,2.913135,27234,3.62,985,3.03,824,63.93
18-Sep,32488,32769,4.555,68.64,78.79286733,2.296041,3.42,2.9948165,27031,3.64,984,3.03,819,63.01
18-Oct,33387,33596,4.77,68.965,81.36955808,2.393609,3.545,3.1279455,26945,3.65,984,3.04,820,62.23
18-Nov,32341,33449,5.1,66.86,81.2279037,2.380182,3.675,3.178092,26846,3.68,987,3.06,822,61.15
18-Dec,33427,33977,4.08,88.24,97.4156364,2.8678,3.25,3.600192,26824,3.7,991,3.07,824,60.55
